"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Rue","Rue des Charreaux","Charreaux","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0160","SAINT-JEAN-DE-BOISEAU Place du Maréchal ","SAINT-JEAN-DE-BOISEAU Rue de la Rigaudiè","3","2","39","40"
"Rue","Rue du Hêtre","Hêtre","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0510","SAINT-JEAN-DE-BOISEAU Rue de la Rigaudiè","SAINT-JEAN-DE-BOISEAU Impasse des Biches","1","2","11","10"
"Avenue","Avenue Henri Ollivier","Ollivier","PUBLIQUE","NANTES","4149","NANTES Rue Monfoulon","NANTES Rue Colonel Boutin","1","","5",""
"Avenue","Avenue Henry de Montherlant","Montherlant","PUBLIQUE","NANTES","4159","NANTES Rue Louise Michel","NANTES Rue Colette","1","2","45","46"
"Avenue","Avenue des Hespérides","Hespérides","PRIVEE","NANTES","4194","NANTES Rue du Landreau","","1","2","15","74"
"Place","Place du Huit Mai 1945","Huit","PUBLIQUE","NANTES","4255","","","","","",""
"Avenue","Avenue de l'Ile de Groix","Groix","PUBLIQUE","NANTES","4258","NANTES Avenue de Gourin","NANTES Avenue du Cap Fréhel","1","2","9","8"
"Chemin","Chemin de la Hunaudais","Hunaudais","PRIVEE","NANTES","4259","NANTES Rue de la Montagne","NANTES Rue de la Hunaudais","1","2","9","18"
"Allée","Allée des Iles Loyauté","Loyauté","PRIVEE","NANTES","4270","NANTES Avenue de Tahiti","","1","2","5","6"
"Rue","Rue de l'Ile aux Moutons","Moutons","PRIVEE","NANTES","4273","NANTES Rue de l'Ile Botty","BOUGUENAIS Rue de l'Ile Sainte Hélène","1","","1",""
"Rue","Rue de l'Industrie","Industrie","PUBLIQUE","NANTES","4280","NANTES Rue Président Edouard Herriot","NANTES Rue Mercoeur","1","2","17","18"
"Avenue","Avenue des Impressionnistes","Impressionnistes","PRIVEE","NANTES","4281","NANTES Route de Vertou","NANTES Chemin du Nouveau Monde","1","2","15","114"
